transaction_id,user_id,product_id,quantity,unit_price,discount,total_amount,currency,transaction_date,payment_method,status
69911f6b-83eb-4674-9afb-43ca77d5de6e,90c29730-73c3-4ed8-8c73-5bc6a822383f,3cf89f0b-ba90-4e8f-beab-9359ced324b6,1,5556,9,5167.08,USD,2022-10-03,Credit card,Declined
204864c4-1ef1-41d9-a4fc-df5b660fa748,15cf586b-9dc9-4a0e-a75b-01e5b0d2c57a,33ccd62b-29ee-4f2b-9804-879eb295674c,10,743,7,5349.6,USD,2010-22-29,Credit card,In progress
f48d176e-30be-48ea-aca3-a4708687af90,90a9bd54-3410-41d8-af34-9739c2f788e5,786c3c6d-5b8d-4ace-a847-0fc2aeea9f9f,8,8906,30,66973.12,USD,02-15-2024,CASH,Declined
70813019-6318-4b55-aa90-2679fb421f14,49641ced-d19b-4486-b216-02501c6cb218,c05bc8b0-a3df-4c2f-a70f-5894228b14f9,5,4474,30,18567.1,USD,2024-04-07,Cash,In progress
f990d9a3-fa94-465b-94c2-05f02fc7dada,cc5b282f-a495-403c-ab85-6ce54466d136,039a5ee6-8e84-4330-842d-f11e045f0bd0,8,7539,11,57296.4,USD,03-07-2025,Cash,
362ca29d-3597-4449-8ed3-c4cd25edfd91,c456e5bf-8c0f-4906-9d9a-5c76b08caf83,99dc106a-9a33-41af-82e1-cb1bf2bbd3eb,2,8777,24,15096.44,USD,2023-06-10,Cash,Declined
3c346be5-0f94-443a-9476-ed9c4ab2de91,783cdf13-8b2d-46ce-a2a3-eed84a616918,33ccd62b-29ee-4f2b-9804-879eb295674c,9,743,2,5148.99,EUR,02-28-2025,Cash,Declined
04e93a8c-523b-4178-a04f-c752523ce23f,4c72e06b-77d1-4756-bf0d-49874ee3aa34,6a8cb125-dd08-43fc-b049-66854421c794,20,,19,33376.0,RON,2023-11-21,Cash,In progress
19d9a83d-d5e0-4955-ad8a-652fc408e16a,05efe40c-b0db-4557-9a00-d0e37c8d5dc8,76dd280b-df64-405c-92f5-9bd986790024,9,2974,5,18736.2,EUR,01-09-2023,Cash,Declined
31c8c62f-dd56-4556-b7a9-200f50b4e09a,b728126b-70df-42db-ac23-01fbf324993a,1d2638f6-c9c3-410a-8694-3340a4ae9c60,8,3672,15,21738.239999999998,USD,15-10-2023,Cash,Accepted
27a38162-bc29-4310-88bf-b51b0d742032,1ca637a1-7a3f-4648-8a63-342c91cc71e5,30720e62-01c6-4064-a22e-422f03d406ea,0,2132,10,0.0,EUR,10-11-2022,Cash,Accepted
40a23944-650a-414e-89ea-e93fc41dcb51,9f48400c-fba7-4363-9a32-a96dbff2a528,d4b201d1-413b-4154-858b-927b2b81992c,9,2309,25,15793.560000000001,USD,2024-08-19,Credit card,Accepted
2fa9e669-062b-4ed6-8cde-daaf267c69de,950d4423-78c4-4e52-ba31-e0a55e46c7eb,4a1bc268-aa6a-47ce-91de-405ea4054f47,7,1326,1,8539.44,RON,2024-03-05,Credit card,Accepted
934e67fe-44c1-4e9b-979c-c9004ebacc35,50e1e5f0-59de-4729-b3d2-ab6e20e25b3d,a9a73d0a-092a-429f-93ed-e9fc5feb93c2,,4790,30,28165.2,EUR,17-11-2024,,Declined
a79e669a-c8c7-4202-9cc0-086c6e244c3c,ba9dead5-ed64-486a-b10c-d65fa5b792f6,49347164-8f0e-4a2b-9901-569c646de794,10,8154,16,70124.4,USD,19-06-2025,Credit card,Declined
43ddfa77-bc9a-4009-bf20-4101c873737c,15cf586b-9dc9-4a0e-a75b-01e5b0d2c57a,e3aa8e12-9b9d-4496-a1ca-21856733af74,2,8540,37,12126.8,USD,12-30-2023,Cash,Declined
29ba56b3-d84b-4fdd-9fdf-0983a0b01aa9,d203a2d3-f302-48e3-ba23-6a722c31501d,2afc4862-63b9-4ce3-a6bc-4c5508ed1e0e,9,9497,,66668.94,RON,03-02-2024,Cash,Accepted
d92df45a-7965-45c2-83f0-9f5e151ce62d,be7da022-07aa-4e1b-97cb-034b7eddbf35,f44feb34-1cc3-40a6-ba39-f74e86e616ff,7,1196,30,6530.16,USD,01-11-2023,Credit card,In progress
72a644d9-39ba-4ff9-9691-a2c121cb77e0,defcd478-e964-4637-adfa-d960f1f84377,ada35854-cc54-4d96-8147-c63c274ae5d2,5,4138,16,16345.1,USD,03-08-2023,Credit card,In progress
a78e5d91-9684-48c7-8ad3-ea28ef67d69b,,1d2638f6-c9c3-410a-8694-3340a4ae9c60,1,3672,7,3047.76,RON,01-10-2024,Credit card,Accepted
a17ed487-7e2b-4ec6-9ebc-5d67cc7242db,b52588f5-496b-49db-94ed-a22bc6396d34,e16d045d-2aa1-4cf7-a910-9ce3183ccab0,19,7556,28,59843.520000000004,RON,14-08-2022,credit card,Accepted
6a4b9d94-088a-47ed-bbe5-fee3a77679d2,d8c9adf1-8eed-4be9-98b8-e2f9f78eab2b,4e55ff5e-b447-4b2b-a052-73788026881e,7,4698,20,26308.8,RON,2024-06-24,Cash,In progress
a355dd5b-bd58-4ac8-92bc-37c4d2bb1deb,90c29730-73c3-4ed8-8c73-5bc6a822383f,f1a15ed7-13ea-433f-b726-b79009cc8d6a,4,5778,30,-80354.8,EUR,2022-12-18,Cash,In progress
88dbfa59-47a6-42c6-bf66-9adb870447e9,692c2178-3738-4a72-9388-6b0a7d5fa5c6,c05bc8b0-a3df-4c2f-a70f-5894228b14f9,6,,2,24964.92,,2025-02-28,Cash,In progress
7a30834d-a984-4f6c-b677-c57c0ec892c3,4c517652-5dcd-48e2-b4f1-d586af338c64,9cea3fee-61fe-428f-8055-1d3d448a7d3a,4,5397,20,20292.72,USD,12-01-2024,Credit card,In progress
f60f461a-4f3b-4566-8e77-f1eda6f6a879,3bf5442b-5486-4130-aa53-490cd9d3add2,69f4376f-f9ad-4a24-a2f7-63830a7b214e,4,,9,20679.0,USD,07-22-2023,Credit card,In progress
5f17947a-d3c9-4c9a-93ac-9d130b8a34b6,783cdf13-8b2d-46ce-a2a3-eed84a616918,005b71aa-ea9b-4477-84f5-103278d1735e,6,4535,4,20951.7,USD,12-19-2023,C~&a()sh,In progress
edad9472-a2b6-4572-a29a-7f43063db458,c72d0b26-1caa-4587-aa65-f84ae9f2a4d1,e16d045d-2aa1-4cf7-a910-9ce3183ccab0,9,7556,22,50322.96,EUR,28-05-2025,Credit card,In progress
b50da0fd-dbb1-4b0e-aaa2-0c1158e509ae,997fdbef-68b7-4a98-977d-5e691c7acd81,a198b241-83e0-47fe-a934-13b924ab362a,10,7028,12,50601.6,USD,27-01-2024,Credit card,Accepted
5019d17e-e66f-4258-85d9-bc03ae76642b,cd5547b9-ed01-4238-84fb-cbc0aeaf48be,3444b4e1-e22e-4fd3-b947-3c104dd94067,6,2312,19,10404.0,USD,2023-05-17,Cash,Accepted
a0e9f33a-e316-4e8e-96d9-da375907f8d9,b054fc1c-3632-4e2f-87c2-b6f7651bf9b7,3444b4e1-e22e-4fd3-b947-3c104dd94067,2,2312,17,4624.0,USD,12-31-2022,Cash,Accepted
9f5928ba-e5e6-4b0d-9be2-e9a2e07f2dc8,cdb24694-060e-476e-baf4-2f2704922215,a9a73d0a-092a-429f-93ed-e9fc5feb93c2,2,4790,23,8717.8,EUR,04-27-2025,Credit card,Accepted
c3560c1e-63cf-4de3-95b1-92b32b027d89,db1c6d6a-52f3-4075-a07b-aa420bc965f9,4ec3f11a-a282-4bcf-ab9d-e184e879d386,-1,6207,1,50835.33,USD,2023/09/16,Cash,Accepted
35c11311-13e5-4a66-8548-678dc1245986,db1c6d6a-52f3-4075-a07b-aa420bc965f9,4ec3f11a-a282-4bcf-ab9d-e184e879d386,8,-3793,-1,37242.0,RON,11-16-2024,Credit card,Declined
514c25ab-0dac-4ae0-bbbf-a176dcf2e482,a96f3bda-b54e-4503-998b-a24d77a7c1fe,93974eb0-0d35-49bc-83ed-dd6c93685e64,6,7599,2,37387.08,EUR,2025-03-28,Cash,Declined
a2e86d20-eb20-47bb-869b-43c8164a1710,d8c9adf1-8eed-4be9-98b8-e2f9f78eab2b,25ea05c7-41ff-4bf9-a766-e22aff78f8e9,10,16531,11,45717.0,USD,2022-12-27,Cash,Accepted
b3ffe9b4-15ba-44e1-9cd0-d87b55eda3cc,aa1fce39-0a54-43ce-bf89-36c934e88526,3dcd25af-517c-4f36-a28d-e1bdc0d09eed,2,2536,18,3601.12,RON,25-01-2024,Credit card,Declined
a840a284-4c2c-405f-97e8-6ec7b62f374b,e83bdbb0-caf1-48e9-b1f8-6e2db5457322,25ea05c7-41ff-4bf9-a766-e22aff78f8e9,10,6531,25,54860.4,USD,03-22-2024,Cash,Accepted
7471b835-70cd-4d03-860e-bfebc145cdf4,f2b10402-3()012-48c4-!b91b-a56a24c92~51b,4f1387a6-952d-49f1-b1c2-284bf5ddad57,7,1284,1,8358.84,RON,22-03-2025,Cash,In progress
414d8f59-af06-40d8-8870-de6f13d183d5,e9a043f9-a0ff-439a-9be3-6271f159a1e9,f2913ad4-147c-4e53-a8aa-70bbf8d2c97c,9,2468,21,21101.4,RON,09-03-2024,Credit card,Accepted
8763b3af-35d1-4f07-9bfa-0cb7651c7ce7,1f458912-39f8-4b12-b0e4-aa7ac887094c,9cea3fee-61fe-428f-8055-1d3d448a7d3a,0,5397,7,0.0,RON,02-03-2025,Cash,In progress
b74c4ffa-1652-41c7-a911-860007d2d7b6,cc5b282f-a495-403c-ab85-6ce54466d136,2afc4862-63b9-4ce3-a6bc-4c5508ed1e0e,8,9497,17,61540.56,EUR,12-31-2022,Credit card,In progress
dd51fe21-c430-447c-905f-e3cb7d4f7796,3fabc904-29f3-438a-8c53-5e860425c429,746e86ea-59c2-4dd5-aeee-e5c90b6d34d2,4,4436,16,13662.880000000001,U()~^SD,14-05-2023,Cash,In progress
ed6cebfe-d777-4d92-9ac0-1b34d6e7203e,39958abc-f21e-4e33-9d27-460c79185985,68e6c66d-a04f-4d5c-8ad7-7040b67535e2,1,1094,6,820.5,USD,01-10-2025,Credit card,Accepted
2a76c3db-6407-49a5-9fee-24548aa1037f,3bf5442b-5486-4130-aa53-490cd9d3add2,2ba75a24-f9f8-4f03-b86f-6fb00b740024,9,-883,16,-6278.13,RON,22-03-2023,Credit card,Declined
e059b623-be02-47f1-86e7-797e6194d39f,783cdf13-8b2d-46ce-a2a3-eed84a616918,01b1a292-c5cb-4a87-8532-8ba2b431cdf2,3,2184,1,5241.6,RON,01-14-2023,Cash,Accepted
e486fa08-b252-4cad-ae70-7d34173593f0,,e939a0a3-0761-4314-a18c-f53d0092b607,4,4451,29,15489.48,USD,25-08-2023,Cash,In progress
61c87434-23fe-405c-b958-8b62fc264a69,d84c4af2-4f2b-48b7-83d5-6e4b7bb9464d,f44feb34-1cc3-40a6-ba39-f74e86e616ff,4,1196,3,4353.44,RON,2025-06-20,Credit card,Accepted
17c13945-7b57-47e4-91a1-80e34830de16,32994ac6-68f6-479a-8c11-29583358ebed,e939a0a3-0761-4314-a18c-f53d0092b607,8,4451,28,34183.68,RON,10-06-2025,Credit card,In progress
298f56a6-b994-4c36-a81b-94c7f7722852,cc5b282f-a495-403c-ab85-6ce54466d136,121720c3-64a9-495a-8d7d-4721a85688b8,6,2672,7,11863.68,RON,02-29-2024,Credit card,Declined
ebdf07b6-5722-40cf-a26d-828242571a77,ebd5998a-62b7-44ad-989e-e0e27201e982,09fa1685-d572-4b5e-aa26-13de817b833b,5,3078,16,11850.3,EUR,2025-07-01,Credit card,In progress
44c1dde2-8cd6-4882-9f48-6ea4b66dcca8,0075f4bf-4b04-4a12-abfe-8af1ab75d0e6,b8b5f887-67e0-48a2-826d-d7cc6fb64698,3,3961,20,8436.93,RON,2024-11-07,Cash,Accepted
c1db34bd-512a-4ade-8a88-9d0e5d39bb6e,e8bd36fe-19af-4e9e-91d3-0a0f99e73edb,2ab9f165-2bb3-4eb9-b1bf-2443f7a18dc5,8,-3445,12,40903.2,RON,08-05-2025,Cash,In progress
7dc4778c-6270-4e40-95d5-514645be00fa,49641ced-d19b-4486-b216-02501c6cb218,c5093d34-3d4e-47bd-b6b8-42e7f6d77bbd,0,8113,30,0.0,EUR,01-16-2025,Credit card,In progress
5e529b2a-d132-40c5-a54e-5f36d507f282,9197d988-c7f2-4244-80f4-a0c3e7357cfa,88e8f13c-7c81-4479-8c79-6ce9ada6f664,0,9066,0,0.0,RON,13-04-2025,Credit card,In progress
2ce8afb8-2785-4d2a-a940-8f8eda50bceb,defcd478-e964-4637-adfa-d960f1f84377,fafcfa62-1a3e-4be3-8b3f-a9ae5e126178,2,-1661,27,11841.380000000001,EUR,12-12-2024,Credit card,Declined
a5bc4f13-6a3c-4681-8f8a-0601e94b2f08,59aaf3e8-8f02-4872-9f2f-9e6aa94f2bc1,a0cc6f06-de6b-49e0-8dcd-89c3c9d87af6,2,503,2,834.98,EUR,30-06-2023,Credit card,Accepted
061ed6e9-ac61-49f6-a54f-02dc721718f3,db1c6d6a-52f3-4075-a07b-aa420bc965f9,3dcd25af-517c-4f36-a28d-e1bdc0d09eed,8,2536,30,17244.8,EUR,11-10-2024,Credit card,In progress
7a2ae3a8-0ae2-4082-8289-8222e54ee172,,dcb5b9fe-48da-40a4-b03c-596bf0ab1bfb,2,7396,10,12129.44,USD,07-06-2025,Cash,In progress
4b9ff5e9-1ff5-4c36-b21e-46431364a392,ddc0d87f-ac66-4542-804f-d4c32f0c61b4,935b8205-ebc4-4d65-a627-0598ec5cf26d,0,1056,27,0.0,RON,12-10-2023,Credit card,In progress
8094c162-b582-4f70-85a9-3e5845737c97,0bf7532f-2ef4-498d-b2ca-090945de5c4c,5744ff82-cb2d-46f4-bdd2-4d2afdc6da35,2,5586,0,8490.72,EUR,12-02-2023,Credit card,Accepted
d4595591-60af-4279-9110-af1a9ecbba04,e005290e-8c69-424b-83e6-5c42e53e0d13,530044b6-f20b-4b89-bf05-778530533e34,9,9122,16,64036.44,EUR,20-07-2025,Credit card,Declined
f13be590-d5de-4774-b074-ac9c1a343b42,be7da022-07aa-4e1b-97cb-034b7eddbf35,58304545-83fa-427f-bed0-3e7f4aa915c9,0,7984,13,0.0,EUR,16-04-2023,Credit card,Declined
3d6075b3-ef0f-4354-a301-4b8fdfe65fb8,dada1afc-0ea8-4838-934a-c20885800f0a,4f1387a6-952d-49f1-b1c2-284bf5ddad57,10,1284,4,10657.2,USD,2025-03-14,Cash,In progress
3d41036c-8a4f-4e8f-a3af-ae6e0966434e,0368a72b-fb03-458b-891e-3c4c98201b81,e3aa8e12-9b9d-4496-a1ca-21856733af74,6,8540,30,35868.0,EUR,09-07-2022,Credit card,Declined
8359a95f-6359-41d7-a36d-32eb8372b3f3,,09fa1685-d572-4b5e-aa26-13de817b833b,17,3078,29,18529.56,USD,10-13-2022,Cash,Declined
62f4fdd9-4797-4297-b55f-76829ec76029,950d4423-78c4-4e52-ba31-e0a55e46c7eb,4e55ff5e-b447-4b2b-a052-73788026881e,3,4698,23,12261.78,EUR,02-05-2024,Cash,Accepted
e5827bbc-631b-4680-951c-afdf55d35592,214b9873-e5ff-4d06-81f9-d6d640319c78,60aa7f00-a20d-48d3-a78a-be1f27310e9f,0,,,0.0,RON,2023-11-14,Cash,In progress
53846368-eaef-49aa-b608-ef69479a878b,3bf5442b-5486-4130-aa53-490cd9d3add2,1f1e44d4-3a11-486c-bfaa-db43f5087f5d,1,2589,20,2589.0,USD,03-31-2024,Credit card,In progress
f69167cc-f906-43e5-a320-a2b4a69e16d9,dada1afc-0ea8-4838-934a-c20885800f0a,2eaeeb6d-c17f-40cf-abb1-675fe75dcda6,6,959,8,4718.28,RON,2023-09-29,Cash,Accepted
2997f11f-6489-404f-9259-790895599743,0fd06bc1-c8ac-4f57-a0c3-7eeaf835c333,5e42bd97-23e1-4fea-98be-22d7b24007c2,5,1974,18,7896.0,,12-05-2024,Cash,In progress
1f9d4ee9-6c9a-4d7e-bb20-a0ce8b245f02,e005290e-8c69-424b-83e6-5c42e53e0d13,4a1bc268-aa6a-47ce-91de-405ea4054f47,3,1326,60,2903.94,RON,2024-04-25,Cash,In progress
8ee798f0-748c-4df7-a836-db613ec25852,950d4423-78c4-4e52-ba31-e0a55e46c7eb,99dc106a-9a33-41af-82e1-cb1bf2bbd3eb,2,8777,18,15271.98,USD,09-06-2024,Cash,Declined
44da5d95-9bbe-433f-b8ea-ba16c0da7548,f9a5c42e-6e70-4f64-81aa-f0bb455b3e59,f98f4eac-2418-4f5d-bf62-096dcc31748a,0,9070,1,0.0,USD,08-25-2024,Credit card,In progress
773c9e18-ac53-45e8-b040-1e0c5399c33d,bb5551fc-435a-4f1e-ae38-6527707200db,e9308b16-1e5c-4d1b-a600-f5217e50b0cb,3,6053,13,,USD,10-02-2025,Cash,Declined
77b41e6b-4ba2-439d-a244-51ed55b997d4,48c7f3cd-5b94-4859-9235-a8f5c1c1f4bd,76dd280b-df64-405c-92f5-9bd986790024,10,2974,22,29145.2,USD,06-05-2023,Credit card,Accepted
192dda26-498f-4335-be3f-cddea3b9f85e,c0e1b7e1-81c8-42c7-8caa-82c1a1e34fe9,530044b6-f20b-4b89-bf05-778530533e34,5,9122,30,39224.6,EUR,05-27-2024,Cash,Accepted
052e7075-e76c-4200-b715-e0ead17fdc47,41aae15a-b8b5-4a7f$-a324-c3e1()a327d0eb,36f5e3ae-26a9-421c-b5a3-7fafbc93a796,2,7226,6,14307.48,USD,03-02-2023,*Cas&h,In progress
a70a2e45-3e3c-4b14-8570-67201c45e74a,d5ad42c2-2672-4bce-9335-dac7e3e4e59b,e3aa8e12-9b9d-4496-a1ca-21856733af74,1,-1460,15,7686.0,EUR,2023-02-14,Credit card,Accepted
